Community Name,Community Type,Population density,Area (km sq),Child Protection Services,Community Health Services,SAAP/Homelessness,Disability Services,Mental Health Services,Health/Human services sites,Dental sites,General practice sites,Pharmacy Sites,Allied Health Sites,Complementary Health Sites,Child Care/Kindergarten Sites,Residential aged care facilities,Licensed aged care places,Primary schools,Secondary school,P-12 schools,Other schools,Nearest Health Service,Distance to Nearest Health Service,Born Overseas,Speakes language other than English at home,Main cultural group 1 (name),Main cultural group 1 (percentage),Main cultural group 2 (name),Main cultural group 2 (percentage),Main cultural group 3 (name),Main cultural group 3 (percentage),Main cultural group 4 (name),Main cultural group 4 (percentage),Other cultural group (percentage)
Talbot,Town,151.977786,2.118730694,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,Maryborough District Health Service (Maryborough),14.97910006,10.1,3.6,Anglo Saxon and Celtic,88.0,Dutch,2.0,South Asian,2.0,East Asian,2.0,6.0
Tallangatta,Town,551.0916692,1.861759227,0,0,0,0,0,10,0,1,1,0,0,2,4,51,2,1,0,0,Tallangatta Health Service,0.483359034,7.8,0.3,Anglo Saxon and Celtic,86.0,German,6.1,Nordic,1.6,Dutch,1.5,4.8
Tallarook,Town,75.19255634,3.64397772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Seymour District Memorial Hospital,14.05690356,8.6,0.0,Anglo Saxon and Celtic,80.6,German,7.1,Dutch,3.5,Hispanic,2.4,6.5
Tallygaroopna,Town,832.4521893,0.3183366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Goulburn Valley Health (Shepparton),14.92278335,7.1,1.1,Anglo Saxon and Celtic,95.8,German,2.4,Dutch,1.2,Asian Muslim,0.6,0.0
Tangambalanga,Town,89.85962928,5.052324427,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,Tallangatta Health Service,17.87879897,3.5,1.3,Anglo Saxon and Celtic,86.4,German,6.8,Franco-Belgian,1.7,Dutch,1.7,3.4
Taradale,Town,48.3379661,4.3237235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kyneton District Health Service,18.40859797,7.7,0.0,Anglo Saxon and Celtic,79.0,German,4.2,Central European,3.6,Italian,3.0,10.2
Tarnagulla,Town,74.28875639,2.207601903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Maryborough District Health Service (Dunolly),15.24371954,7.0,0.0,Anglo Saxon and Celtic,90.3,Italian,6.5,German,3.2,Hispanic,0.0,0.0
Tarneit,Suburb,2237.836926,5.703722132,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,Werribee Mercy Hospital,6.423643889,29.1,27.7,Anglo Saxon and Celtic,49.2,Italian,9.0,Hispanic,6.8,South East Asian,5.7,29.4
Tarrington,Town,33.07938618,8.434255657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hamilton Base Hospital,8.726088887,1.5,2.0,Anglo Saxon and Celtic,60.0,German,40.0,Hispanic,0.0,Franco-Belgian,0.0,0.0
Tarwin Lower,Town,167.4562513,0.758407041,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,Gippsland Southern Health Service (Leongatha),31.5040574,13.6,0.0,Anglo Saxon and Celtic,85.2,Dutch,5.6,German,2.8,Italian,1.9,4.6
Tatura,Town,396.2349211,9.565032758,0,0,0,2,0,13,1,1,1,2,0,2,3,45,3,0,0,0,Goulburn Valley Health (Tatura),0.513944652,12.1,11.1,Anglo Saxon and Celtic,75.3,Italian,10.2,German,4.0,Turkish,2.8,7.8
Tawonga,Town,65.50668225,5.373497602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpine Health (Mount Beauty),7.036988549,13.6,3.6,Anglo Saxon and Celtic,89.1,Baltic,3.1,German,2.3,Franco-Belgian,1.6,3.9
Taylors Hill,Suburb,2511.765321,4.509577349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Sunshine Hospital,8.593254909,33.0,47.1,Anglo Saxon and Celtic,27.2,Italian,18.6,Balkan,9.5,South Asian,6.4,38.2
Taylors Lakes,Suburb,2297.394408,7.804493619,0,2,0,4,0,20,0,2,3,6,1,4,0,0,1,1,1,0,Sunshine Hospital,9.650767014,29.4,39.8,Anglo Saxon and Celtic,29.2,Italian,23.3,Balkan,9.0,Greek,7.1,31.4
Tecoma,Suburb,1242.742017,1.827410652,0,0,0,0,0,8,0,1,0,3,1,1,0,0,1,0,0,0,Angliss Hospital,2.715748881,14.7,3.6,Anglo Saxon and Celtic,77.0,German,6.8,Dutch,3.6,Italian,3.6,8.9
Teesdale,Town,143.2552254,7.908961063,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,Hesse Rural Health Service (Winchelsea),33.70907775,15.1,3.8,Anglo Saxon and Celtic,86.6,Italian,3.6,German,2.8,Nordic,2.3,4.6
Templestowe,Suburb,1203.112491,14.84898556,0,0,0,0,0,25,4,5,4,5,0,4,5,340,3,0,0,0,Box Hill Hospital,8.290359664,33.0,34.9,Anglo Saxon and Celtic,43.9,Italian,12.1,East Asian,11.1,Greek,10.1,22.8
Templestowe Lower,Suburb,2297.347028,6.015199197,0,0,0,0,0,30,1,2,2,14,0,7,4,222,3,1,0,0,Austin Hospital,5.470973153,32.5,36.2,Anglo Saxon and Celtic,45.7,Italian,12.8,Greek,12.0,East Asian,9.4,20.0
Terang,Town,398.7678526,4.76969241,0,0,0,5,0,13,1,2,1,6,0,2,3,55,1,0,0,0,Terang and Mortlake Health Service (Terang),1.271394632,4.6,1.6,Anglo Saxon and Celtic,91.6,German,1.9,Dutch,1.3,Nordic,1.2,4.1
The Basin,Suburb,747.2113029,5.727964745,0,0,0,0,0,4,0,0,0,0,0,3,1,88,2,0,1,0,Angliss Hospital,9.181383249,15.6,4.2,Anglo Saxon and Celtic,80.2,German,5.1,Dutch,4.0,Italian,2.4,8.3
The Patch,Suburb,439.9887113,1.956868388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Angliss Hospital,10.2019318,18.2,4.3,Anglo Saxon and Celtic,79.4,Dutch,5.6,German,4.8,Franco-Belgian,2.0,8.2
Thomastown,Suburb,1498.088209,14.72877222,0,0,0,2,0,32,4,6,3,7,1,7,1,45,7,1,0,1,The Northern Hospital,5.03939946,46.9,65.1,Italian,23.0,Anglo Saxon and Celtic,17.8,Greek,12.9,Balkan,8.2,38.1
Thomson,Suburb,1736.457144,0.957697117,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,The Geelong Hospital,4.021338982,13.7,5.3,Anglo Saxon and Celtic,81.8,German,3.6,Italian,2.8,Dutch,2.1,9.6
Thornbury,Suburb,3637.48075,4.997414763,4,3,1,5,0,45,2,7,6,8,1,6,4,165,5,1,2,0,Heidelberg Repatriation Hospital,5.375457052,30.2,36.1,Anglo Saxon and Celtic,43.3,Italian,14.9,Greek,14.5,South Asian,4.5,22.7
Thornton,Town,141.657272,0.988300834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Alexandra District Hospital,11.12385867,7.0,0.0,Anglo Saxon and Celtic,88.7,Italian,6.2,German,2.1,Hispanic,1.0,2.1
Thorpdale,Town,133.2436017,1.501010161,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,Latrobe Regional Hospital,32.0749973,7.1,3.3,Anglo Saxon and Celtic,87.6,Dutch,5.5,German,2.8,Franco-Belgian,1.4,2.8
Timboon,Town,200.7287803,4.573335218,0,0,0,1,0,7,0,1,1,5,2,1,1,0,0,0,1,0,Timboon and District Healthcare Service,0.371299386,6.8,0.8,Anglo Saxon and Celtic,87.5,German,6.0,Dutch,2.6,Franco-Belgian,1.0,3.0
Tongala,Town,540.5060087,2.444006132,0,0,0,0,0,8,0,1,1,1,0,1,2,72,2,0,0,0,Kyabram and District Health Service,14.61360132,4.5,0.7,Anglo Saxon and Celtic,90.1,German,2.1,Dutch,1.7,Italian,1.3,4.7
Toolamba,Town,270.526663,1.138519939,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,Goulburn Valley Health (Shepparton),17.76044669,2.6,1.0,Anglo Saxon and Celtic,81.5,Italian,10.5,Dutch,3.5,German,2.0,2.5
Toongabbie,Town,341.9002396,1.54723495,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,Latrobe Regional Hospital,25.65905653,5.0,0.0,Anglo Saxon and Celtic,81.0,Franco-Belgian,3.8,Dutch,3.8,Nordic,3.8,7.6
Toora,Town,213.8091143,2.361919891,0,0,0,0,0,3,0,1,0,1,0,1,1,30,1,0,0,0,South Gippsland Hospital (Foster),12.760258,8.0,3.0,Anglo Saxon and Celtic,82.5,German,4.4,Italian,3.9,Dutch,2.9,6.3
Tooradin,Town,212.1052329,4.068735072,0,0,0,0,0,4,0,1,1,0,0,1,0,0,1,0,0,0,Kooweerup Regional Health Service,10.87743888,10.0,3.3,Anglo Saxon and Celtic,85.2,German,3.7,Italian,3.3,Dutch,2.5,5.3
Toorak,Suburb,3318.891335,4.338195665,0,0,0,0,0,52,12,9,5,12,2,5,1,49,2,0,4,0,The Alfred,3.850651062,25.4,14.9,Anglo Saxon and Celtic,64.3,German,6.2,East Asian,4.6,Jewish/Armenian,3.5,21.4
Tootgarook,Suburb,695.8388813,3.572666126,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,Rosebud Hospital,3.352638952,15.8,9.0,Anglo Saxon and Celtic,72.7,Italian,12.8,Greek,3.6,German,2.2,8.8
Torquay,Town,843.1578326,14.91891496,0,0,0,1,0,15,1,2,1,5,3,5,1,75,1,0,1,0,The Geelong Hospital,21.87198799,11.3,3.4,Anglo Saxon and Celtic,84.0,German,3.8,Italian,3.5,Dutch,2.1,6.5
Trafalgar,Town,627.2540677,4.575498427,0,0,0,5,0,8,1,1,1,0,0,1,2,50,2,1,0,0,West Gippsland Healthcare Group (Warragul),21.3083417,8.7,3.4,Anglo Saxon and Celtic,80.8,Italian,5.7,German,4.8,Dutch,2.1,6.6
Traralgon,Town,1048.579239,23.7540465,0,0,0,7,0,68,4,6,3,15,3,8,5,262,6,2,2,1,Latrobe Regional Hospital,7.16660231,10.7,4.8,Anglo Saxon and Celtic,78.5,Italian,4.2,German,4.1,Dutch,3.6,9.6
Traralgon South,Town,216.0144369,1.717477801,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,Latrobe Regional Hospital,19.40565305,6.1,0.0,Anglo Saxon and Celtic,74.4,Italian,9.3,Dutch,7.0,German,4.7,4.7
Travancore,Suburb,3584.768118,0.397515251,0,0,0,1,0,8,0,1,0,2,0,1,0,0,0,0,0,0,Royal Melbourne Hospital,2.72985133,27.2,22.0,Anglo Saxon and Celtic,52.4,East Asian,12.0,Italian,7.9,South Asian,5.6,22.1
Trentham,Town,261.3457882,2.789407876,0,0,0,0,0,3,0,0,0,0,0,0,4,35,1,0,0,0,Kyneton District Health Service,23.2287778,14.0,3.5,Anglo Saxon and Celtic,87.2,German,4.0,Dutch,2.0,Italian,2.0,4.8
Truganina,Suburb,1040.677097,5.43684493,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,0,Werribee Mercy Hospital,6.579507034,31.3,30.6,Anglo Saxon and Celtic,46.5,Italian,8.7,South Asian,6.9,Hispanic,4.7,33.3
Tullamarine,Suburb,309.8741971,22.55108707,0,0,0,0,0,11,0,2,2,3,1,5,0,0,1,0,0,0,Broadmeadows Health Service,6.911505756,30.4,30.8,Anglo Saxon and Celtic,46.4,Italian,18.5,Greek,6.2,Afro-Arabic Muslim,4.1,24.8
Tungamah,Town,162.1664476,1.936282164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yarrawonga District Health Service,26.54826564,7.1,1.4,Anglo Saxon and Celtic,80.0,Central European,3.1,Balkan,3.1,Nordic,3.1,10.8
Tyabb,Suburb,172.0706517,17.52187238,0,0,0,0,0,3,0,1,1,0,0,1,0,0,1,0,1,0,Frankston Hospital,15.05808198,15.1,2.7,Anglo Saxon and Celtic,84.9,German,3.3,Dutch,3.1,Italian,2.6,6.1
Tyers,Town,116.1476876,2.204090373,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Latrobe Regional Hospital,16.64724531,8.4,0.0,Anglo Saxon and Celtic,85.7,German,4.0,Dutch,2.9,Italian,2.2,5.2
Tylden,Town,79.42680093,4.708738053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kyneton District Health Service,12.95953115,14.6,3.6,Anglo Saxon and Celtic,85.1,Dutch,3.1,German,2.8,Italian,2.1,6.9
Tynong,Town,124.2316732,2.978306501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kooweerup Regional Health Service,20.97398095,7.2,2.7,Anglo Saxon and Celtic,81.4,German,4.5,Italian,3.2,Dutch,3.0,8.0
Ultima,Town,133.8812488,1.359413672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Swan Hill District Hospital (Swan Hill),31.97976699,1.8,0.0,Anglo Saxon and Celtic,92.7,German,7.3,Hispanic,0.0,Franco-Belgian,0.0,0.0
Underbool,Town,299.9473976,0.726794104,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,Mallee Track Health and Community Service,48.93299725,4.5,0.0,Anglo Saxon and Celtic,89.1,German,3.5,Franco-Belgian,1.5,Hispanic,1.2,4.8
Upper Ferntree Gully,Suburb,1188.027187,2.952794378,0,0,0,0,0,20,1,1,1,7,0,2,4,124,1,0,0,0,Angliss Hospital,0.832370047,18.7,5.9,Anglo Saxon and Celtic,76.1,German,6.6,Italian,2.8,Dutch,2.6,12.0
Upwey,Suburb,1006.429936,6.978131062,0,0,0,0,0,12,0,1,1,2,0,5,0,0,2,1,0,0,Angliss Hospital,1.608072231,15.0,3.5,Anglo Saxon and Celtic,79.0,German,5.4,Dutch,3.1,Central European,2.7,9.8
Venus Bay,Town,37.30593324,16.00281639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gippsland Southern Health Service (Leongatha),40.29120169,25.2,5.3,Anglo Saxon and Celtic,85.7,German,4.8,Italian,2.7,Central European,2.7,4.1
Vermont,Suburb,2318.212149,4.593194804,0,0,0,2,0,14,1,5,3,4,2,5,1,69,3,1,0,0,Maroondah Hospital,7.768863856,23.7,16.6,Anglo Saxon and Celtic,69.8,East Asian,4.9,German,3.6,Italian,3.5,18.2
Vermont South,Suburb,1981.027887,6.148828132,0,0,0,0,0,25,4,3,2,6,6,4,2,170,3,1,0,1,Maroondah Hospital,10.311413,32.6,29.3,Anglo Saxon and Celtic,53.4,East Asian,10.4,Italian,7.8,Greek,6.9,21.5
Viewbank,Suburb,1572.74623,4.495321537,0,0,0,0,0,6,0,1,1,0,0,3,0,0,1,1,0,0,Austin Hospital,4.468978004,23.0,21.3,Anglo Saxon and Celtic,58.1,Italian,11.6,Greek,5.5,East Asian,3.6,21.2
Violet Town,Town,171.5968509,4.085156553,0,0,0,0,0,5,0,0,0,5,0,1,2,63,1,0,0,0,Benalla and District Memorial Hospital,29.33937488,9.4,2.6,Anglo Saxon and Celtic,88.7,German,3.4,Dutch,2.4,Nordic,1.6,3.9
Wahgunyah,Town,405.4333062,2.333306084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Northeast Health Wangaratta,42.46821495,5.3,0.8,Anglo Saxon and Celtic,88.7,German,3.5,Dutch,1.9,Italian,1.9,4.1
Wallan,Town,737.7137985,8.581918913,0,0,0,0,0,15,0,3,1,8,1,4,0,0,1,1,0,0,Kilmore and District Hospital,12.71022748,8.3,4.9,Anglo Saxon and Celtic,80.7,Italian,6.5,German,3.4,Central European,2.1,7.4
Walpeup,Town,68.70853592,1.499085938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mallee Track Health and Community Service,29.41588319,11.1,6.5,Anglo Saxon and Celtic,85.1,German,4.1,Italian,2.9,Dutch,1.7,6.2
Walwa,Town,41.76530602,2.346445156,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,Upper Murray Health and Community Services (Corryong),45.03108675,9.8,0.0,Anglo Saxon and Celtic,76.7,Italian,7.0,German,4.4,Central European,2.5,9.4
Wandana Heights,Suburb,1541.495481,1.392803305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Geelong Hospital,10.11997859,13.4,5.7,Anglo Saxon and Celtic,79.2,Italian,2.6,Balkan,2.6,Dutch,2.5,13.1
Wandiligong,Town,91.32683261,3.580546819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Alpine Health (Bright),4.741670732,15.7,8.9,Anglo Saxon and Celtic,86.6,German,3.5,Italian,2.3,Dutch,2.0,5.7
Wandin East,Suburb,361.2276836,1.528122082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maroondah Hospital,19.37443977,11.3,4.4,Anglo Saxon and Celtic,74.2,Italian,9.6,German,8.2,Franco-Belgian,3.7,4.2
Wandin North,Suburb,354.1115613,5.00407271,0,0,0,0,0,4,0,1,1,0,0,1,0,0,1,0,0,0,Maroondah Hospital,19.44418803,12.5,4.3,Anglo Saxon and Celtic,75.4,Italian,6.9,Dutch,6.0,German,5.1,6.5
Wandong-Heathcote Junction,Town,321.7113312,5.02002834,0,0,0,0,0,4,0,1,1,0,0,1,0,0,1,0,0,0,Kilmore and District Hospital,12.13622945,10.5,3.7,Anglo Saxon and Celtic,83.8,German,8.1,Franco-Belgian,2.9,Dutch,2.2,2.9
Wangaratta,Town,584.5175409,31.92718557,12,13,5,24,12,94,6,9,5,31,2,10,6,326,7,3,1,2,Northeast Health Wangaratta,2.849395188,7.9,5.0,Anglo Saxon and Celtic,81.9,German,4.9,Italian,3.4,Dutch,2.6,7.2
Wantirna,Suburb,1746.251012,8.282314456,0,0,0,5,0,37,0,4,1,10,2,8,3,220,4,1,0,1,Maroondah Hospital,6.701680485,25.9,20.2,Anglo Saxon and Celtic,63.0,East Asian,6.4,Italian,5.1,German,3.5,22.0
Wantirna South,Suburb,1416.68936,13.40731464,4,0,7,9,2,62,5,8,4,11,6,8,3,237,3,0,3,1,Angliss Hospital,9.414578879,32.7,27.1,Anglo Saxon and Celtic,56.9,East Asian,9.3,South Asian,5.5,Italian,4.6,23.6
Warburton,Town,281.2666751,7.135576936,0,0,0,0,0,6,0,1,1,0,2,1,1,51,1,0,0,0,Healesville and District Hospital,32.5376788,16.7,4.9,Anglo Saxon and Celtic,80.6,German,7.1,Balkan,2.6,Dutch,1.9,7.8
Warburton East,Town,213.6456168,3.613460513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healesville and District Hospital,38.99591388,14.7,2.5,Anglo Saxon and Celtic,76.8,South Asian,7.1,Balkan,3.9,German,2.4,9.8
Warneet,Town,824.90592,0.640072992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cranbourne Integrated Care Centre,12.82688673,13.6,2.1,Anglo Saxon and Celtic,79.0,German,4.1,Dutch,3.9,Italian,3.8,9.2
Warracknabeal,Town,249.9426157,10.242351,0,0,0,8,0,16,1,3,1,8,0,3,4,62,2,1,0,1,Rural Northwest Health (Warracknabeal),0.795031535,5.9,1.9,Anglo Saxon and Celtic,83.6,Italian,4.2,German,3.8,Hispanic,1.7,6.7
Warragul,Town,703.3468719,18.86693541,3,6,0,14,0,59,3,6,4,29,1,5,3,128,3,4,1,1,West Gippsland Healthcare Group (Warragul),2.111471267,8.9,3.2,Anglo Saxon and Celtic,91.2,Balkan,2.0,Franco-Belgian,1.5,German,1.0,4.4
Warrandyte,Suburb,416.0679186,13.65402076,0,0,0,0,0,10,1,2,0,2,0,1,0,0,2,1,0,0,Maroondah Hospital,11.96134038,17.8,9.4,Anglo Saxon and Celtic,71.4,Italian,6.4,German,4.2,Greek,2.5,15.4
Warranwood,Suburb,1754.214998,2.794412319,0,0,0,1,0,4,0,1,0,2,2,3,0,0,1,0,1,0,Maroondah Hospital,6.041756201,14.9,7.8,Anglo Saxon and Celtic,72.2,Italian,6.9,German,4.2,Dutch,3.3,13.4
Warrnambool,Town,892.2780157,35.07202851,29,13,9,33,38,120,5,8,7,28,2,17,7,338,8,2,1,1,South West Healthcare (Warrnambool),0.216175845,5.7,2.0,Anglo Saxon and Celtic,84.5,German,5.4,Dutch,3.2,Italian,1.8,5.2
Waterford Park,Town,954.5178408,0.21162517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kilmore and District Hospital,44.39848387,8.6,0.0,Anglo Saxon and Celtic,100.0,Hispanic,0.0,Franco-Belgian,0.0,Dutch,0.0,0.0
Waterways,Suburb,661.3373946,2.497968531,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Kingston Centre,10.40836789,39.4,41.5,Anglo Saxon and Celtic,48.5,East Asian,8.2,South East Asian,7.8,South Asian,5.7,29.8
Watsonia,Suburb,2150.090745,2.426874314,0,0,0,3,0,22,2,2,3,6,1,3,0,0,1,1,0,0,Austin Hospital,6.214677419,14.9,10.6,Anglo Saxon and Celtic,76.5,Italian,5.4,German,2.9,Balkan,2.0,13.2
Watsonia North,Suburb,2814.795769,1.438114994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Austin Hospital,7.827893931,19.7,19.0,Anglo Saxon and Celtic,60.9,Italian,12.8,Greek,6.0,Balkan,2.5,17.8
Wattle Glen,Suburb,632.4569969,2.286321453,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,Austin Hospital,17.70797566,11.6,2.7,Anglo Saxon and Celtic,82.4,Italian,3.9,German,3.4,Franco-Belgian,1.9,8.3
Waurn Ponds,Suburb,1954.384789,1.793914904,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,The Geelong Hospital,10.56402537,12.8,5.9,Anglo Saxon and Celtic,79.9,German,4.9,Italian,4.2,Dutch,2.4,8.6
Wedderburn,Town,140.2786265,4.997197487,0,0,0,0,0,9,0,1,1,0,0,1,0,0,0,0,1,0,Inglewood and District Health Service,29.71620109,7.2,2.5,Anglo Saxon and Celtic,71.8,German,11.8,Dutch,7.1,Central European,5.9,3.5
Wendouree,Suburb,1213.605941,8.95760282,0,0,0,2,0,29,1,4,1,4,2,6,5,165,3,0,2,0,Ballarat Hospital,4.494308536,7.3,2.9,Anglo Saxon and Celtic,86.1,German,3.6,Dutch,2.0,Italian,1.7,6.6
Werribee,Suburb,1787.978631,23.97511875,2,2,2,7,0,87,6,13,6,17,3,12,7,570,8,4,1,0,Werribee Mercy Hospital,3.772630631,21.8,16.7,Anglo Saxon and Celtic,63.4,Italian,12.8,German,3.2,Hispanic,2.9,17.7
Werribee South,Town,1320.258359,0.562768639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Werribee Mercy Hospital,13.20785756,23.0,8.8,Anglo Saxon and Celtic,85.2,German,5.5,Dutch,2.4,Italian,1.9,4.9
Wesburn,Town,182.4847789,3.408503459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Healesville and District Hospital,26.71752981,11.0,1.7,Anglo Saxon and Celtic,87.7,German,3.7,Italian,2.1,Nordic,1.3,5.2
West Bendigo,Suburb,226.5990217,1.893212057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Bendigo Hospital,4.87188389,5.8,0.0,Anglo Saxon and Celtic,87.2,German,5.6,Oceanian,2.0,Dutch,1.2,4.0
West Footscray,Suburb,2863.335047,3.782651985,0,0,0,0,0,16,1,2,2,1,0,4,0,0,2,0,0,0,Western Hospital (Footscray),2.537061897,36.5,39.7,Anglo Saxon and Celtic,44.7,South East Asian,11.3,Italian,8.0,South Asian,5.3,30.8
West Melbourne,Suburb,554.1120741,6.41566962,0,2,0,0,2,10,0,1,0,4,1,0,0,0,0,1,0,0,Royal Melbourne Hospital,3.624194837,29.5,22.5,Anglo Saxon and Celtic,50.3,East Asian,16.9,Italian,8.3,South East Asian,4.6,19.9
Westmeadows,Suburb,1340.77899,4.717406854,0,0,0,0,0,8,0,1,1,0,0,2,1,30,1,0,0,0,Broadmeadows Health Service,2.022270019,23.2,24.7,Anglo Saxon and Celtic,52.9,Italian,18.8,Greek,3.7,Turkish,3.0,21.5
Wheelers Hill,Suburb,2033.328347,10.35100899,0,0,0,1,0,35,4,8,1,10,2,8,3,251,6,1,1,1,Monash Medical Centre (Clayton),7.95587959,36.1,33.8,Anglo Saxon and Celtic,49.4,East Asian,10.7,Italian,7.7,Greek,7.4,24.9
White Hills,Suburb,613.0486139,4.825065962,0,0,0,0,0,7,0,1,1,1,0,1,0,0,2,0,1,0,The Bendigo Hospital,4.352962507,4.4,1.7,Anglo Saxon and Celtic,89.2,German,3.3,Italian,1.8,Dutch,1.1,4.7
Whittington,Suburb,2801.534653,1.553434292,0,0,0,0,0,4,0,0,0,0,0,3,1,90,1,0,0,1,The Geelong Hospital,4.24319953,12.2,5.9,Anglo Saxon and Celtic,78.7,Italian,4.3,German,3.5,Balkan,2.3,11.2
Whittlesea,Town,1190.713424,3.933776092,0,0,0,0,0,13,1,1,1,9,2,6,2,140,2,1,0,0,The Northern Hospital,22.83357775,9.0,3.7,Anglo Saxon and Celtic,71.4,Dutch,4.4,German,4.1,Italian,4.0,16.1
Willaura,Town,189.0148176,1.608339515,0,0,0,0,0,4,0,1,1,3,0,1,4,12,1,0,0,0,East Grampians Health Service (Willaura),0.442321527,10.1,1.0,Anglo Saxon and Celtic,91.3,German,4.0,Central European,2.0,Dutch,0.7,2.0
Williamstown,Suburb,2531.164928,5.518407688,0,2,0,4,0,41,5,3,2,16,7,4,2,40,3,1,1,0,Williamstown Hospital,0.294446001,18.8,12.8,Anglo Saxon and Celtic,71.1,Italian,7.4,Greek,3.3,German,3.0,15.1
Williamstown North,Suburb,849.9045623,1.796672318,0,0,0,0,0,2,0,0,0,0,0,0,1,60,0,0,0,0,Williamstown Hospital,2.252008169,24.8,14.0,Anglo Saxon and Celtic,68.3,German,6.3,Italian,5.4,Central European,3.1,16.9
Willow Grove,Town,200.8467426,1.17004636,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,West Gippsland Healthcare Group (Warragul),37.31502908,7.0,0.0,Anglo Saxon and Celtic,87.5,German,11.1,Franco-Belgian,1.4,Hispanic,0.0,0.0
Wimbledon Heights,Town,1159.426134,0.372598122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bass Coast Regional Health,38.60857354,11.1,4.0,Anglo Saxon and Celtic,88.3,Dutch,5.0,German,3.3,Jewish/Armenian,1.7,1.7
Winchelsea,Town,270.7752628,5.306984048,0,1,0,0,0,12,0,2,1,1,0,2,3,55,1,0,0,0,Hesse Rural Health Service (Winchelsea),0.911213492,8.9,1.9,Anglo Saxon and Celtic,93.0,Greek,2.3,Central European,1.7,Dutch,1.2,1.7
Windsor,Suburb,6993.235666,1.047869734,5,0,0,0,0,27,1,2,1,9,2,3,3,277,1,1,0,0,The Alfred,1.92914626,26.3,20.9,Anglo Saxon and Celtic,57.6,Greek,9.6,East Asian,4.4,German,3.9,24.5
Wodonga,Town,864.1543478,37.09869664,12,9,6,26,14,105,6,8,4,14,2,20,2,140,7,3,3,1,Wodonga Hospital,0.033961438,9.2,4.2,Anglo Saxon and Celtic,67.8,Italian,14.3,South Asian,2.9,Dutch,2.4,12.7
Wonga Park,Suburb,409.3419259,9.358924061,0,0,0,0,0,4,0,0,0,1,0,2,0,0,1,0,0,0,Maroondah Hospital,9.156831463,11.1,3.2,Anglo Saxon and Celtic,79.3,German,4.6,Italian,3.6,Dutch,3.3,9.1
