Community Name,Community Type,Population density,Area (km sq),Child Protection Services,Community Health Services,SAAP/Homelessness,Disability Services,Mental Health Services,Health/Human services sites,Dental sites,General practice sites,Pharmacy Sites,Allied Health Sites,Complementary Health Sites,Child Care/Kindergarten Sites,Residential aged care facilities,Licensed aged care places,Primary schools,Secondary school,P-12 schools,Other schools,Nearest Health Service,Distance to Nearest Health Service,Born Overseas,Speakes language other than English at home,Main cultural group 1 (name),Main cultural group 1 (percentage),Main cultural group 2 (name),Main cultural group 2 (percentage),Main cultural group 3 (name),Main cultural group 3 (percentage),Main cultural group 4 (name),Main cultural group 4 (percentage),Other cultural group (percentage)
Sailors Gully,Suburb,335.3143142,2.078646722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,The Bendigo Hospital,6.707448461,4.0,0.9,Anglo Saxon and Celtic,88.9,Franco-Belgian,1.8,German,1.7,Nordic,1.7,6.0
Saint Helena,Suburb,1892.772355,1.575466798,0,0,0,0,0,5,0,3,1,0,0,1,1,51,1,1,0,0,Austin Hospital,11.96297176,13.3,10.0,Anglo Saxon and Celtic,67.2,Italian,14.1,Greek,3.6,German,2.7,12.4
Sale,Town,478.1088796,30.49932897,4,11,0,8,1,70,2,8,4,26,2,11,4,175,7,2,1,1,Central Gippsland Health Service (Sale),0.979041167,10.6,3.7,Anglo Saxon and Celtic,83.9,German,3.5,Italian,2.4,Dutch,2.2,8.0
San Remo,Town,338.0585815,3.313035259,1,3,0,2,0,6,0,1,1,4,0,1,2,29,1,0,0,0,Bass Coast Regional Health,23.8893487,14.8,3.7,Anglo Saxon and Celtic,84.3,German,4.3,Dutch,2.8,Italian,2.3,6.2
Sandringham,Suburb,2762.748074,3.540315562,3,0,0,4,0,31,2,2,2,19,0,5,7,410,4,1,0,0,Sandringham & District Memorial Hospital,1.423606606,20.5,8.8,Anglo Saxon and Celtic,79.9,Italian,3.6,German,3.4,Greek,1.9,11.2
Sandy Point,Town,124.5156428,1.718659561,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,South Gippsland Hospital (Foster),26.37838248,8.5,0.0,Anglo Saxon and Celtic,86.4,German,4.2,Franco-Belgian,1.4,Greek,1.4,6.6
Sassafras,Suburb,312.4149023,3.325705632,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,Angliss Hospital,7.140068996,19.9,6.0,Anglo Saxon and Celtic,77.1,German,5.8,Nordic,3.9,Dutch,2.9,10.3
Sawmill Settlement,Town,108.4293535,2.204200175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mansfield District Hospital,28.64498872,20.3,9.3,Anglo Saxon and Celtic,69.1,German,19.6,Italian,6.2,Dutch,1.0,4.1
Scarsdale,Town,53.76102729,2.566915235,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Ballarat Hospital,23.21406959,5.6,0.0,Anglo Saxon and Celtic,92.1,German,4.8,Dutch,1.6,Unclassified,1.6,0.0
Scoresby,Suburb,660.6590874,9.426949722,0,0,0,0,0,9,2,2,1,5,1,2,0,0,2,1,0,0,Angliss Hospital,9.702495117,26.7,18.9,Anglo Saxon and Celtic,65.3,Italian,5.2,East Asian,4.7,German,3.9,21.0
Sea Lake,Town,234.4333506,2.828095911,1,0,0,0,0,11,0,3,1,3,0,2,4,37,1,0,1,0,Sea Lake & District Hospital,0.537883633,6.6,3.2,Anglo Saxon and Celtic,85.1,German,8.1,Franco-Belgian,1.3,Italian,1.1,4.5
Seabrook,Suburb,3319.365938,1.627419242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Werribee Mercy Hospital,6.938061678,26.5,27.9,Anglo Saxon and Celtic,49.7,Italian,13.1,Balkan,5.8,Central European,4.6,26.8
Seaford,Suburb,1389.959542,12.2334496,0,0,0,6,2,24,1,3,2,2,0,6,2,18,6,1,0,1,Frankston Hospital,5.770150496,19.6,7.3,Anglo Saxon and Celtic,78.4,German,4.0,Italian,2.9,Dutch,2.3,12.4
Seaholme,Suburb,2226.831249,0.886910493,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,Williamstown Hospital,5.927092531,25.5,17.6,Anglo Saxon and Celtic,67.4,Italian,11.6,Balkan,3.2,Dutch,2.9,14.9
Seaspray,Town,128.3177843,1.535250948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Gippsland Health Service (Sale),32.64460685,11.3,1.5,Anglo Saxon and Celtic,80.1,German,5.5,Central European,3.3,Dutch,2.2,8.8
Sebastopol,Suburb,1177.758814,7.800408614,1,0,0,0,0,17,0,2,2,2,0,6,6,146,2,0,2,0,Ballarat Hospital,5.011693376,7.0,2.5,Anglo Saxon and Celtic,85.7,German,3.3,Dutch,3.0,Italian,1.9,6.0
Seddon,Suburb,5327.821392,0.955174663,0,0,0,0,0,6,1,0,0,2,1,0,0,0,0,0,0,0,Western Hospital (Footscray),1.720191099,29.9,30.3,Anglo Saxon and Celtic,50.5,Greek,6.4,South East Asian,6.2,Italian,5.3,31.7
Selby,Suburb,576.4992335,2.544669472,0,0,0,0,0,5,0,1,0,1,1,2,0,0,1,0,0,0,Angliss Hospital,6.736710031,13.6,3.2,Anglo Saxon and Celtic,80.2,Dutch,4.4,German,3.2,Italian,2.5,9.8
Seville,Town,1063.467227,1.721726776,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,Maroondah Hospital,21.45241137,10.7,2.8,Anglo Saxon and Celtic,78.2,German,5.3,Dutch,4.6,Italian,3.6,8.3
Seville East,Town,926.1535108,0.738538473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healesville and District Hospital,20.93880807,11.4,1.7,Anglo Saxon and Celtic,82.6,Dutch,4.9,Italian,4.2,German,3.8,4.5
Seymour,Town,458.1435023,13.90175779,0,0,0,0,0,30,3,3,2,12,2,2,3,66,1,0,1,0,Seymour District Memorial Hospital,2.864105743,8.1,3.5,Anglo Saxon and Celtic,82.1,German,4.5,Italian,4.4,Dutch,1.9,7.1
Shepparton East,Town,287.9591729,0.913323918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Goulburn Valley Health (Shepparton),8.953650427,9.8,10.2,Anglo Saxon and Celtic,71.3,Greek,8.7,Italian,7.0,German,3.5,9.6
Shepparton-Mooroopna,Town,808.6130011,53.53240665,9,14,3,29,21,163,9,12,10,29,6,21,10,581,10,5,2,2,Goulburn Valley Health (Shepparton),3.16360571,11.0,10.2,Anglo Saxon and Celtic,77.0,Italian,7.9,German,2.8,Turkish,1.2,11.0
Sherbrooke,Suburb,297.309678,0.713061214,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Angliss Hospital,8.132903564,22.9,7.8,Anglo Saxon and Celtic,73.7,Italian,6.4,German,4.7,Central European,4.1,11.1
Shoreham,Town,345.104017,2.439844101,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,Rosebud Hospital,19.8438139,4.4,0.8,Anglo Saxon and Celtic,86.1,German,4.7,Dutch,2.2,Italian,1.8,5.1
Simpson,Town,289.5614706,0.625083163,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Timboon and District Healthcare Service,26.48760499,5.6,0.0,Anglo Saxon and Celtic,90.4,Dutch,6.7,Franco-Belgian,1.0,Italian,1.0,1.0
